numportal,Numero
0,1332
1,626
10,295
100,10
101,20
102,20
103,19
104,19
105,18
106,13
107,24
108,12
109,17
11,284
110,13
111,22
112,4
113,10
114,5
115,5
116,15
117,11
118,22
119,18
12,338
120,8
121,4
122,14
123,7
124,15
125,11
126,9
127,13
128,5
129,13
13,227
130,14
131,9
132,7
133,13
134,8
135,18
136,8
137,12
138,16
139,15
14,273
140,4
141,9
142,8
143,7
144,9
145,9
146,5
147,7
148,5
149,10
15,253
150,3
151,10
152,6
153,6
154,4
155,8
156,4
157,6
158,5
159,7
16,233
160,12
161,10
162,11
163,4
164,4
165,4
166,5
167,10
168,3
169,2
17,206
170,4
171,6
172,5
173,7
174,2
175,2
176,1
177,2
178,4
179,5
18,266
180,7
181,2
182,1
183,5
184,8
185,2
186,8
187,5
188,5
189,6
19,220
190,4
192,4
193,4
194,4
195,3
196,2
197,2
198,5
199,9
2,621
20,217
200,3
201,6
202,1
203,2
204,4
206,4
207,4
208,3
209,2
21,174
210,1
211,4
212,4
213,8
214,1
215,4
216,1
217,3
218,2
219,1
22,175
220,6
221,2
222,1
223,3
224,1
225,2
226,24
227,4
228,3
229,1
23,188
230,2
231,1
232,2
233,3
235,4
236,4
237,2
239,1
24,190
240,1
241,3
243,2
244,3
245,3
246,3
248,1
249,1
25,178
251,3
253,2
254,2
256,1
257,2
258,1
259,4
26,153
260,6
261,2
262,3
263,3
265,3
266,2
269,5
27,157
270,2
271,8
273,1
274,3
276,4
277,5
278,1
279,2
28,138
281,1
283,1
284,1
285,2
286,1
287,1
29,120
290,1
293,1
294,1
295,1
297,2
299,2
3,511
30,136
300,3
301,2
302,8
303,2
304,1
305,3
306,2
31,146
310,1
312,4
313,4
317,1
319,3
32,108
321,2
322,4
324,2
327,2
328,1
329,1
33,137
330,4
332,2
333,2
334,1
335,2
336,4
338,1
34,93
340,1
341,2
348,4
35,110
351,1
352,2
353,1
36,99
364,2
366,1
368,2
369,1
37,118
377,3
379,1
38,89
39,103
4,378
40,85
407,1
41,112
412,1
42,100
420,3
422,1
43,100
430,1
44,73
45,81
46,78
47,70
48,80
49,69
5,364
50,66
51,70
513,1
52,64
521,1
53,48
54,57
55,48
550,2
56,26
564,1
57,38
58,55
59,60
6,399
60,65
61,53
62,45
63,36
64,35
65,37
66,25
67,51
68,43
69,31
7,355
70,41
71,38
72,64
73,43
74,24
75,37
76,24
77,38
78,28
79,24
8,347
80,27
81,30
82,36
83,18
84,31
85,23
86,39
87,24
88,19
89,28
9,279
90,20
91,13
92,22
93,26
94,15
95,13
96,19
97,26
98,21
99,16
,14417
