modelo,Numero
,2
CONTENUR,122
CONTENUR-3.200,44
Contenedor 1.000 l.,305
Contenedor 1.100 l.,188
Contenedor 120 l.,207
Contenedor 240 l.,242
Contenedor 330 l.,5
Contenedor 360 l.,111
Contenedor 660 l.,143
Contenedor 700 l.,1
Contenedor 800 l.,16
Contenedor DIN 30.700,253
Contenedor Mod. Valencia,2
Contenur,2290
Contenur-gris 1.000 l.,217
DTP,14
ECOEMBES,21
FABRAPOL,2
FIANDRI,35
ICOPLASTIC,2
Icoplastic,10
Mod. 10 Iglu boca industrial,324
Mod. 11,4
Mod. 9 Iglu,1435
OMB,16
OMB-2400,3
OTTO,1005
P O,44
P.O. 800 l.,1
PLASTIC_OMNIUM,1
PO,18
ROS_ROCA,3841
RR DIN,5
RR-1.700,1
RR-3.200,3462
SULO,2
SULO FCC,21
SULO SAV,2
,14417
